year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2021,PYF,exkill,8.4910851,.63805681,7.6743722,9.3077974
2017,SAU,exkill,5.0716429,1.1345582,3.6194084,6.5238771
2018,SAU,exkill,4.2502856,.66322351,3.4013596,5.0992117
2019,SAU,exkill,4.4189706,.55196214,3.7124591,5.1254821
2020,SAU,exkill,4.7185502,.41095966,4.192522,5.2445784
2021,SAU,exkill,4.8306565,.64462501,4.0055366,5.6557765
2019,SLB,exkill,6.9299226,1.5126544,4.9937248,8.8661203
2020,SLB,exkill,7.0633674,1.9211079,4.6043491,9.5223856
2018,TON,exkill,7.4523158,.90840656,6.2895555,8.6150761
2019,TON,exkill,7.6557398,.70337886,6.755415,8.5560646
2020,TON,exkill,8.2295303,.31241336,7.8296413,8.6294193
2021,TON,exkill,8.2573919,.30993524,7.8606749,8.654109
2020,TUV,exkill,8.3059855,.86656076,7.1967878,9.4151831
2021,TUV,exkill,8.5239868,1.0590529,7.1683989,9.8795748
2019,TWN,exkill,8.1147699,.2111349,7.8445172,8.3850222
2020,TWN,exkill,8.2924986,.14562723,8.1060953,8.4789019
2021,TWN,exkill,8.4691553,.19388209,8.2209864,8.7173243
2017,USA,exkill,4.3552113,.69343889,3.4676094,5.2428131
2018,USA,exkill,4.4224277,.37063968,3.9480088,4.8968463
2019,USA,exkill,4.4332833,.25720647,4.1040592,4.7625074
2020,USA,exkill,4.270844,.28630707,3.904371,4.6373172
2021,USA,exkill,4.0556374,.65234023,3.2206419,4.8906326
2017,VEN,exkill,4.8162313,.80036944,3.7917583,5.840704
2018,VEN,exkill,3.2904656,.51009035,2.6375499,3.9433813
2019,VEN,exkill,2.5414228,.23327214,2.2428346,2.8400111
2020,VEN,exkill,2.8106585,.27706137,2.4560199,3.165297
2021,VEN,exkill,2.5917225,.64703393,1.763519,3.4199259
2017,VNM,exkill,5.8485041,.50382733,5.2036052,6.493403
2018,VNM,exkill,5.520174,.40487242,5.0019374,6.0384107
2019,VNM,exkill,5.9691348,.33052295,5.5460653,6.3922043
2020,VNM,exkill,6.4952102,.28746808,6.1272511,6.8631692
2021,VNM,exkill,6.7583766,.37656936,6.2763677,7.2403855
2019,VUT,exkill,7.4725218,1.0108473,6.178637,8.7664061
2020,VUT,exkill,7.2234111,.60438681,6.4497962,7.997026
2018,WSM,exkill,8.2878523,.95999748,7.0590553,9.5166492
2019,WSM,exkill,8.4638586,.40327361,7.9476686,8.9800491
2020,WSM,exkill,8.4937916,.31097752,8.0957403,8.8918428
2021,WSM,exkill,8.4973269,.48578945,7.8755164,9.1191378
2017,AGO,arrest,3.1064658,.52045411,2.4402845,3.7726471
2018,AGO,arrest,4.2849312,.40502512,3.766499,4.8033633
2019,AGO,arrest,4.389297,.58163148,3.6448088,5.1337852
2020,AGO,arrest,3.5632248,.80522871,2.532532,4.5939174
2021,AGO,arrest,2.4756963,1.1042136,1.0623029,3.8890898
2019,ASM,arrest,9.0971899,1.1350875,7.644278,10.550102
2017,AUS,arrest,5.913435,.49151972,5.2842898,6.5425801
2018,AUS,arrest,5.8805275,.31342971,5.4793377,6.2817173
2019,AUS,arrest,5.6512537,.2381835,5.3463788,5.9561286
