year,resp_count,country_code,metric_code,mean,sd,lobound_10,upbound_90
2021,21,TON,climate,4.1904764,1.2497619,,
2021,21,TON,culture,4.1904764,1.503963,,
2021,21,TON,indigland,3.4285715,1.5675277,,
2021,21,TON,indigsov,4.0476189,1.3219755,,
2021,21,TON,vchild,3.3978627,0.60233241,2.6268771,4.168848
2021,21,TON,vdisab,5.8223596,0.71984684,4.9009557,6.7437634
2021,21,TON,vmvpfaff,3.7300003,0.71534437,2.8143594,4.6456409
2021,21,TON,vwomen,2.90855,0.49322802,2.2772181,3.5398819
2020,3,TUV,climate,5.3333335,0.57735026,,
2020,3,TUV,culture,5,1,,
2020,3,TUV,indigland,5.3333335,0.57735026,,
2020,3,TUV,indigsov,4,1.7320508,,
2020,3,TUV,vchild,,,,
2020,3,TUV,vdisab,,,,
2020,3,TUV,vmvpfaff,,,,
2020,3,TUV,vwomen,,,,
2021,5,TUV,climate,5.4000001,0.89442718,,
2021,5,TUV,culture,5,0.70710677,,
2021,5,TUV,indigland,5.1999998,0.44721359,,
2021,5,TUV,indigsov,4.5999999,1.1401755,,
2021,5,TUV,vchild,5.2034388,1.1061635,3.7875495,6.619328
2021,5,TUV,vdisab,6.7671762,1.7376819,4.5429435,8.9914093
2021,5,TUV,vmvpfaff,4.7123604,1.972334,2.1877728,7.236948
2021,5,TUV,vwomen,4.6098518,1.3697946,2.8565147,6.3631887
2019,4,VUT,climate,4.75,1.2583058,,
2019,4,VUT,culture,5,0.81649661,,
2019,4,VUT,indigland,3.5,1.2909944,,
2019,4,VUT,indigsov,3.75,1.5,,
2019,4,VUT,vchild,4.0922828,1.6404685,1.9924831,6.1920824
2019,4,VUT,vdisab,4.7356439,1.8528497,2.3639963,7.1072917
2019,4,VUT,vmvpfaff,4.1348457,1.7474775,1.8980745,6.3716168
2019,4,VUT,vwomen,1.6304259,1.1787938,0.12156988,3.139282
2020,7,VUT,climate,5.2857141,0.95118976,,
2020,7,VUT,culture,5.5714288,0.53452247,,
2020,7,VUT,indigland,5.5714288,0.53452247,,
2020,7,VUT,indigsov,4.1428571,1.4638501,,
2020,7,VUT,vchild,2.7618043,0.81266654,1.7215912,3.8020175
2020,7,VUT,vdisab,2.7830839,1.3643292,1.0367426,4.5294251
2020,7,VUT,vmvpfaff,2.8852105,1.5342174,0.92141229,4.8490086
2020,7,VUT,vwomen,1.1963123,0.99636418,-0.079033837,2.4716585
2021,5,VUT,climate,5.5999999,0.54772258,,
2021,5,VUT,culture,4,1.5811388,,
